"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Quarrel's End","R","C","67871","6.57","12505","8.82","42829","58.9%","7465","58.4%","10978","60.9%","18443","59.9%","24409","58.1%","1.8pp"
"Uruk-hai Berserker","B","C","54456","4.64","12454","6.14","64570","58.4%","11251","59.2%","16737","60.3%","27988","59.9%","36507","57.2%","2.6pp"
"Frodo Baggins","WG","U","15310","3.91","3207","4.72","12044","53.9%","2062","62.3%","3105","58.1%","5167","59.7%","6766","49.3%","10.5pp"
"Mordor Muster","B","C","52527","4.41","14020","5.71","75461","58.6%","13666","60.1%","19638","59.3%","33304","59.7%","42192","57.8%","1.9pp"
"Troll of Khazad-dûm","B","C","55775","4.77","11718","6.52","59045","58.4%","10127","58.4%","15504","60.4%","25631","59.6%","33388","57.5%","2.2pp"
"Flowering of the White Tree","W","R","2346","1.72","1347","1.70","6695","56.6%","1124","60.7%","1688","58.9%","2812","59.6%","3879","54.4%","5.2pp"
"Gandalf's Sanction","UR","U","19007","4.84","5228","5.50","20915","56.4%","3488","52.9%","7235","62.8%","10723","59.6%","10467","53.3%","6.3pp"
"Boromir, Warden of the Tower","W","R","2527","1.87","1197","1.95","5915","56.9%","1058","59.6%","1475","59.5%","2533","59.6%","3339","54.7%","4.9pp"
"The Balrog, Durin's Bane","BR","R","2783","2.15","1371","2.15","6551","56.7%","958","59.9%","1697","59.2%","2655","59.5%","3895","54.8%","4.7pp"
"March from the Black Gate","B","U","11143","2.68","4331","3.04","23644","58.1%","4278","63.8%","5996","56.4%","10274","59.5%","13321","57.1%","2.3pp"
"Scroll of Isildur","U","R","3963","2.91","1259","3.19","5207","53.9%","907","56.1%","1570","61.3%","2477","59.4%","2703","48.8%","10.6pp"
"Old Man Willow","BG","U","14814","3.73","3847","4.39","14547","54.6%","2400","56.0%","3818","61.5%","6218","59.4%","8289","50.9%","8.5pp"
"Haunt of the Dead Marshes","B","C","61846","5.54","11540","7.60","46649","58.0%","8292","58.9%","11881","59.5%","20173","59.3%","26403","57.0%","2.2pp"
"Éomer, Marshal of Rohan","R","R","2561","1.94","1284","2.00","6719","58.5%","1131","59.1%","1642","59.4%","2773","59.2%","3931","57.7%","1.5pp"
"Improvised Club","R","C","60442","5.46","12827","7.21","57873","58.6%","9353","56.0%","14582","61.3%","23935","59.2%","33944","58.2%","1.0pp"
"Horses of the Bruinen","U","U","20435","4.97","4186","6.38","15755","55.0%","2444","53.9%","5049","61.6%","7493","59.1%","8314","51.4%","7.7pp"
"War of the Last Alliance","W","R","3702","2.76","1020","3.06","3721","55.4%","596","58.4%","915","59.5%","1511","59.0%","2203","52.8%","6.2pp"
"Bill the Pony","W","U","14537","3.50","4108","4.17","18639","55.4%","3084","56.8%","4910","60.3%","7994","58.9%","10527","52.6%","6.4pp"
"Warbeast of Gorgoroth","R","C","66946","6.30","10013","8.88","30025","58.2%","4711","57.3%","7299","59.8%","12010","58.8%","18042","57.7%","1.1pp"
"Birthday Escape","U","C","57149","5.16","11802","6.67","51728","55.6%","9229","56.4%","16193","60.2%","25422","58.8%","26409","52.5%","6.3pp"
"Glorious Gale","U","C","58625","5.33","11571","6.97","49196","55.5%","8732","57.1%","14743","59.6%","23475","58.7%","25632","52.5%","6.2pp"
"Flame of Anor","UR","R","4192","3.15","1521","3.22","5598","54.1%","923","57.0%","1954","59.4%","2877","58.6%","2902","50.0%","8.6pp"
"Lash of the Balrog","B","C","49065","4.13","12081","5.39","61781","57.7%","9911","55.1%","16395","60.7%","26306","58.6%","35491","57.1%","1.5pp"
"Errand-Rider of Gondor","W","C","49638","4.22","11648","5.44","57972","56.8%","10193","57.8%","14575","59.1%","24768","58.5%","33104","55.4%","3.1pp"
"Oath of the Grey Host","B","U","15168","3.58","4541","4.32","21259","57.1%","3602","57.2%","5520","59.4%","9122","58.5%","12120","56.1%","2.5pp"
"Sauron, the Necromancer","B","R","1930","1.46","1344","1.44","7144","56.5%","1157","56.8%","1919","59.5%","3076","58.5%","4066","54.9%","3.5pp"
"Protector of Gondor","W","C","60872","5.52","11039","7.40","47259","57.0%","7707","57.8%","11735","58.9%","19442","58.5%","27744","56.0%","2.5pp"
"Fiery Inscription","R","U","17621","4.52","3979","5.41","16135","56.6%","2797","57.0%","4594","59.3%","7391","58.4%","8619","54.8%","3.6pp"
"Rosie Cotton of South Lane","W","U","11636","2.81","3604","3.26","18201","56.3%","3083","57.3%","4552","59.1%","7635","58.4%","10433","54.5%","3.9pp"
